ID,Language,Dataset,Modality,Use,Features,Source Paper,Dataset Access,Cited By
5812,Indonesian,speech corpus for an Indonesian speech-to-speech translation system,Speech,Speech-to-Speech Translation,"The speech corpus dataset is used to develop a speech-to-speech translation system for Indonesian, focusing on collecting and processing speech data to enhance translation accuracy. This involves methodologies centered on data collection and processing techniques tailored to improve the performance of translation systems. The dataset's specific focus on Indonesian speech data enables researchers to address the unique linguistic challenges of the language, thereby enhancing the accuracy and reliability of speech-to-speech translation applications.; The dataset is used to develop a speech-to-speech translation system for Indonesian, focusing on the collection and processing of speech data to enhance translation accuracy. It enables researchers to build and refine models that can effectively translate spoken Indonesian into other languages, addressing the specific challenges of Indonesian phonetics and dialects.",https://doi.org/10.1109/ICSDA.2017.8384448 (2017),,https://doi.org/10.1109/ICELTICs50595.2020.9315538 (2020)
5816,Indonesian,STIF parallel dataset,Text,Style Transfer,"The STIF parallel dataset is used to fine-tune pre-trained models for Indonesian informal-to-formal style transfer. This involves enhancing grammatical accuracy and style consistency in the transformed text. The dataset's parallel nature, featuring informal and formal versions of sentences, enables researchers to train models that effectively convert informal language into more formal, grammatically correct forms.",https://doi.org/10.18653/v1/N19-1014 (2019),https://github.com/haryoa/stif-indonesia,https://doi.org/10.1109/IC2IE60547.2023.10331336 (2023)
5820,Indonesian,Sundanese Twitter Dataset for Emotion Classification,Text,Emotion Classification,"The Sundanese Twitter Dataset for Emotion Classification is used to analyze emotional expressions in tweets, specifically focusing on social media content in the Sundanese language. Researchers employ this dataset for emotion classification tasks, utilizing it to understand and categorize emotional states expressed in Sundanese tweets. This dataset enables detailed analysis of emotional content, contributing to the development of more nuanced natural language processing models for social media data.; The Sundanese Twitter Dataset for Emotion Classification is used to analyze emotional expressions in tweets, specifically focusing on social media content in the Sundanese language. Researchers employ this dataset for emotion classification tasks, utilizing it to develop and evaluate models that can accurately identify emotions expressed in Sundanese tweets. This dataset enables the exploration of linguistic and cultural nuances in emotional expression on social media platforms.",https://doi.org/10.1109/CENIM51130.2020.9297929 (2020),https://www.kaggle.com/datasets/rabieelkharoua/sundanese-twitter-dataset,https://doi.org/10.48550/arXiv.2205.15960 (2022)
5819,Indonesian,Sundanese-Indonesian Parallel Corpus,Text,Machine Translation,"The Sundanese-Indonesian Parallel Corpus is utilized for machine translation research, specifically to improve translation quality between Sundanese and Indonesian. Researchers employ this dataset to address linguistic variations, enhancing the accuracy and fluency of translations. The parallel nature of the corpus, containing aligned texts in both languages, is crucial for training and evaluating machine translation models.",https://doi.org/10.52549/ijeei.v10i1.3565 (2022),https://dataverse.telkomuniversity.ac.id/file.xhtml?persistentId=doi:10.34820/FK2/HDYWXW/IVP3G5,https://doi.org/10.48550/arXiv.2212.09648 (2022)
5822,Indonesian,System Usability Scale (SUS),Text,Translation,"The System Usability Scale (SUS) dataset is used to translate and adapt usability scale statements into Indonesian, ensuring cultural and linguistic accuracy. This adaptation focuses on measuring user satisfaction effectively in Indonesian contexts. The dataset enables researchers to conduct usability evaluations that account for local nuances, enhancing the reliability and validity of user experience assessments.",https://doi.org/10.1109/ICACSIS.2016.7872776 (2016),,https://doi.org/10.14569/ijacsa.2022.0130950 (2022)
5826,Indonesian,TED En-Id,Text,Machine Translation,"The TED En-Id dataset is used to train and evaluate neural machine translation models, specifically for translating between Indonesian and English. It employs parallel sentences from TED talk transcripts to enhance translation quality. This dataset facilitates research focused on improving the accuracy and fluency of Indonesian-English translations through neural network methodologies.; The TED En-Id dataset is used to train and evaluate neural machine translation models, specifically for translating Indonesian to English. It employs parallel sentences from TED talk transcripts, enabling researchers to focus on improving translation accuracy and performance in this language pair. The dataset's parallel sentence structure facilitates the development and testing of machine translation systems.",https://doi.org/10.18653/v1/N18-2084 (2018),https://huggingface.co/datasets/SEACrowd/ted_en_id,https://doi.org/10.48550/arXiv.2212.09648 (2022)
5644,Indonesian,The Gede Manggala Putra and Nurjanah [25] tweet dataset,Text,Sentiment Analysis,a hate speech dataset in Indonesian language from Instagram. The dataset was extracted in the range of June 2019 until April 2020.,https://doi.org/10.1109/ICACSIS51025.2020.9263084 (2020),https://github.com/nurindahpratiwi/dataset-hate-speech-instagram,https://doi.org/10.1145/3625821 (2023)
5828,Indonesian,TITML-IDN,Speech,Speech Recognition/Understanding,"The TITML-IDN dataset is primarily used for training and evaluating speech recognition and text-to-speech models for Indonesian, Javanese, and Sundanese languages. It enhances the XLS-R model's accuracy, robustness, and generalization across diverse speakers and accents, particularly in controlled and natural contexts. The dataset includes community-contributed audio and has an average recording time of 43 minutes per speaker for Indonesian, 10 minutes for Javanese, and 7 minutes for Sundanese, making it valuable for developing high-quality speech processing systems.; The TITML-IDN dataset is used for speech-related research in Indonesian, focusing on phonetic, phonological, and acoustic characteristics. It includes a corpus of twenty speakers (eleven male, nine female) and is employed to analyze speech patterns, high-frequency sounds, and selected sentences. This dataset enables detailed linguistic and acoustic studies, particularly in a multilingual context.",https://www.semanticscholar.org/paper/da19f6f033257a7831f53f238e37b4e5768e9f43 (2006),https://huggingface.co/datasets/holylovenia/TITML-IDN,https://doi.org/10.48550/arXiv.2401.06832 (2024); https://doi.org/10.1109/ACCESS.2020.3027619 (2020); https://www.semanticscholar.org/paper/5f25f0dd39b88f3a17b4035a16d248c7ff9185ae (2019)
5829,Indonesian,Tokyo University Frog Storytelling,Text,Linguistic Analysis,"The Tokyo University Frog Storytelling dataset is used to analyze Indonesian possessive verbal predicates through storytelling surveys. Researchers focus on identifying and examining statistical patterns in language use, employing surveys to gather data. This dataset enables detailed linguistic analysis, providing insights into the structural and functional aspects of possessive verbs in Indonesian.; The Tokyo University Frog Storytelling dataset is used to analyze Indonesian possessive verbal predicates through storytelling surveys. Researchers focus on identifying and examining statistical patterns in language use, employing a survey methodology to gather data. This dataset enables detailed linguistic analysis, specifically addressing how possessive verbs are used in storytelling contexts, providing insights into Indonesian language structure and usage.",https://www.semanticscholar.org/paper/278bdf4ed974541265b0208eac9f421cd5486000 (2013),https://github.com/davidmoeljadi/corpus-frog-storytelling,https://doi.org/10.18653/v1/2020.aacl-main.85 (2020)
5830,Indonesian,translated Hadiths in Bahasa Indonesia,Text,Information Retrieval,"The 'translated Hadiths in Bahasa Indonesia' dataset is used to import Hadith translations into a MySQL database for further processing and analysis. This focuses on enhancing the accessibility and usability of the translated content, enabling researchers to explore and utilize the dataset in a structured format. The dataset's primary application is in improving the digital availability and user experience of Hadith translations in Bahasa Indonesia.",https://doi.org/10.47065/josyc.v4i4.3905 (2023),https://github.com/irsyadulibad/hadits-database,https://doi.org/10.1109/ICITACEE62763.2024.10762762 (2024)
5837,Indonesian,Twitter comments,Text,Sentiment Analysis,"The Twitter comments dataset is used to train and validate models for sentiment analysis and understanding Indonesian stock trader slang. It focuses on document-level sentiment and social media comments, labeled by stock experts for domain-specific accuracy. This dataset enables research in sentiment analysis and financial language processing, enhancing model performance in these areas.",https://doi.org/10.1109/iccsai53272.2021.9609746 (2021),https://github.com/ridife/dataset-idsa,https://doi.org/10.1109/IoTaIS56727.2022.9975975 (2022)
5839,Indonesian,Twitter Dataset for Hate Speech and Cyberbullying Detection in Indonesian Language,Text,Sentiment Analysis,"The Twitter Dataset for Hate Speech and Cyberbullying Detection in Indonesian Language is used to identify and analyze linguistic patterns and abusive content in Indonesian social media, specifically Twitter. Researchers employ this dataset to detect hate speech and cyberbullying by examining the textual data, enabling them to understand and address harmful online behaviors.",https://doi.org/10.1109/ICIMTech.2019.8843722 (2019),,https://doi.org/10.14569/ijacsa.2023.01406125 (2023)
5841,Indonesian,Twitter social media data,Text,Sentiment Analysis,"The Twitter social media data dataset is used for aspect-based sentiment analysis, specifically applying the K-Nearest Neighbors algorithm to Indonesian language content. This dataset enables researchers to analyze sentiments expressed in tweets, focusing on specific aspects or features of products, services, or topics. The dataset's relevance lies in its ability to capture real-time public opinions and reactions, providing valuable insights into consumer behavior and public sentiment in Indonesia.",https://doi.org/10.1051/e3sconf/202235905001 (2022),,https://doi.org/10.1109/ICICoS62600.2024.10636859 (2024)
5843,Indonesian,UD-Indo-GSD,Text,Parsing and Tagging,"The UD-Indo-GSD dataset is primarily used for dependency parsing in Indonesian, focusing on both manually translated and originally authored texts. It contains 5,593 annotated sentences, enabling researchers to study syntactic structures and benchmark parsing models. The dataset's pre-defined test set and corrected version facilitate the evaluation of parsing models, including comparisons with methods like I NDO BERT, using dependency annotation metrics.",https://www.semanticscholar.org/paper/e95ad36302f92f45abe169fbc5185e55407bcc34 (2013),https://universaldependencies.org/treebanks/id_gsd/index.html,https://doi.org/10.18653/V1/2020.COLING-MAIN.66 (2020)
5846,Indonesian,UD-Indo-PUD,Text,Parsing and Tagging,"The UD-Indo-PUD dataset is used to evaluate the performance of IndoBERT, a model designed for Indonesian Natural Language Processing (NLP) tasks. It is specifically employed to compare IndoBERT's effectiveness against other models, focusing on tasks relevant to the Indonesian language. This dataset enables researchers to benchmark and assess the relative strengths and weaknesses of different NLP models in the Indonesian context.; The UD-Indo-PUD dataset is primarily used for dependency parsing in Indonesian, focusing on syntactic structures and grammatical relations. It leverages a pre-defined test set to benchmark models, including I NDO BERT, against previous work. The dataset is also used to analyze manually translated and authored Indonesian texts, with specific attention to dependency annotation metrics and universal dependency annotations in both large and small subsets of sentences.","https://doi.org/10.18653/V1/2020.COLING-MAIN.66 (2020), https://www.semanticscholar.org/paper/e95ad36302f92f45abe169fbc5185e55407bcc34 (2013)",https://universaldependencies.org/treebanks/id_pud/index.html,https://doi.org/10.1109/IoTaIS56727.2022.9975975 (2022); https://doi.org/10.18653/V1/2020.COLING-MAIN.66 (2020)
5849,Indonesian,UI-CTB,Text,Parsing and Tagging,"The UI-CTB dataset is used to build an Indonesian constituency parser model, employing a shift-reduce neural constituent parser. Research focuses on improving parsing accuracy and evaluating model performance. This dataset enables researchers to develop and test parsing algorithms specifically tailored for the Indonesian language, contributing to advancements in natural language processing for Indonesian.; The UI-CTB dataset is used to build an Indonesian constituency parser model, employing a shift-reduce neural constituent parser. This dataset focuses on parsing Indonesian sentences, enabling researchers to develop and evaluate parsing models specifically tailored for the Indonesian language. The dataset's annotated sentence structures facilitate the training and testing of these models, enhancing their accuracy and performance in linguistic analysis tasks.",https://doi.org/10.3115/v1/P15-1113 (2015),https://universaldependencies.org/treebanks/id_csui/index.html,https://doi.org/10.1109/IALP48816.2019.9037723 (2019)
5850,Indonesian,UKARA dataset,Text,Evaluation,"The UKARA dataset is used to evaluate various methods, including single, ensemble, and deep learning (LSTM) approaches, for automatic short-answer scoring in Bahasa Indonesia. Research focuses on assessing model performance and accuracy, enabling the development and refinement of automated scoring systems for educational assessments in the Indonesian language.",https://www.semanticscholar.org/paper/3e795f8d94f552f2abeb09bcadec480f9e8a4586 (2020),https://github.com/ilhamfp/ukara-1.0-challenge,https://doi.org/10.20532/cit.2022.1005478 (2023)
5853,Indonesian,user reviews from Tokopedia,Text,Sentiment Analysis,"The 'user reviews from Tokopedia' dataset is used to analyze the correlation between quality services and user reviews in the Indonesian marketplace. Researchers employ sentiment analysis and develop recommendation systems, leveraging the dataset's focus on customer feedback to enhance service quality and user experience.",https://doi.org/10.1088/1757-899X/909/1/012071 (2020),,https://doi.org/10.1109/ICIMCIS60089.2023.10348996 (2023)
5860,Indonesian,WordNet Bahasa,Unknown,Lexicon/Dictionary,"The WordNet Bahasa dataset is used as a lexical database to support Indonesian language processing, enhancing semantic and lexical resources for research studies. It provides a structured vocabulary that aids in the development and improvement of natural language processing systems, particularly in the Indonesian context. This dataset enables researchers to build more robust and contextually accurate language models and tools.",https://www.semanticscholar.org/paper/288ef622fe53317f92ddb66677a7a0b691719c38 (2011),https://wn-msa.sourceforge.net/index.eng.html,https://www.semanticscholar.org/paper/41713cdd3af12f4fe8e50fee0d71ffb1a904a49e (2018)
5861,Indonesian,World Loanword Database (WOLD),Unknown,Lexicon/Dictionary,"The World Loanword Database (WOLD) is used to study the prevalence and etymology of loanwords in Indonesian, specifically identifying 34% of words as loanwords, with 8.9% from the greater Java area. It supports comparative linguistic analysis and verifies the borrowing status of terms like 'wangi' from Javanese, Sundanese, or Balinese, providing etymological insights.",https://doi.org/10.1515/9783110218442 (2009),,https://doi.org/10.1515/cog-2021-0092 (2022)
5862,Indonesian,WP2,Text,Named Entity Recognition,"The WP2 dataset is primarily used for training and evaluating named entity recognition (NER) models, particularly in the Indonesian language. It is utilized to train character-embeddings and pre-trained monolingual word-embeddings, and to measure vocabulary overlap with English datasets. WP2 shows better performance on MDEE and +Gazz datasets compared to CoNLL, and is also used to train a BiLSTM-CRF model for cross-lingual NER transfer.",https://www.semanticscholar.org/paper/04ca48e573c0800fc572f2af1d475dd2645e840a (2008),https://github.com/dice-group/FOX/tree/master/input/Wikiner,https://doi.org/10.1007/978-3-031-24337-0_29 (2019)
5863,Indonesian,WReTE,Text,Textual Entailment,"The WReTE dataset is primarily used to evaluate and train textual entailment and natural language inference models in Indonesian. It consists of sentence pairs derived from Indonesian Wikipedia and other sources, labeled for entailment and non-entailment. Researchers use it to assess model performance on entailment, contradiction, and neutral relations, often employing semi-supervised methods to improve entailment recognition. The dataset supports binary classification tasks and is used to construct and evaluate models across various textual entailment scenarios.; The WReTe dataset is used to construct an entailment dataset from Indonesian Wikipedia revision history, comprising 450 sentence pairs. It is specifically employed to evaluate textual entailment models, focusing on the accuracy and performance of these models in understanding and processing Indonesian language text. The dataset's unique feature is its derivation from revision history, providing a rich source of sentence pairs for this evaluation.",https://doi.org/10.1007/978-3-031-23793-5_34 (2018),https://huggingface.co/datasets/SEACrowd/wrete,https://doi.org/10.1109/IWAIIP58158.2023.10462854 (2023); https://doi.org/10.18653/v1/2021.emnlp-main.821 (2021); https://doi.org/10.48550/arXiv.2212.09648 (2022)
5870,Indonesian,XStoryCloze,Text,Parsing and Tagging,"The XStoryCloze dataset is used to study causal and temporal relations in multilingual stories, specifically across 10 languages including Indonesian. It enhances few-shot learning with multilingual language models by providing a diverse set of narrative contexts. This dataset enables researchers to evaluate and improve the ability of language models to understand and generate coherent stories in multiple languages.",https://www.semanticscholar.org/paper/1403e6b9adf7712c35ae56327d52fe54603b87e1 (2021),https://github.com/facebookresearch/fairseq/blob/main/examples/xglm/XStoryCloze.md,https://doi.org/10.48550/arXiv.2311.01012 (2023)
6394,Javanese,10ID-10JV-10SU,Speech,Text-to-Speech,"The dataset '10ID-10JV-10SU' is used to fine-tune the WaveGlow model for multi-speaker, multilingual text-to-speech applications. It focuses on enhancing the model's capability to handle multiple languages and speakers, specifically improving the quality and versatility of synthesized speech across different linguistic contexts. This dataset enables researchers to address the challenge of creating more natural and adaptable speech synthesis systems.; The dataset '10ID-10JV-10SU' is used to fine-tune WaveGlow for multi-speaker, multilingual Text-to-Speech (TTS) systems, specifically focusing on the Javanese language. It employs a multi-speaker, multilingual dataset to enhance the TTS model's performance, addressing the nuances and specific characteristics of the Javanese language. This enables more natural and accurate speech synthesis for Javanese speakers.",https://www.semanticscholar.org/paper/21b786b3f870fc7fa247c143aa41de88b1fc6141 (2018),,https://doi.org/10.1109/ACCESS.2020.3027619 (2020)
6397,Javanese,dataset consisting of 1770 words,Text,Parsing and Tagging,"The dataset consisting of 1770 words is used to train and evaluate a hidden Markov model for Javanese part-of-speech tagging. This focuses on achieving high accuracy in linguistic annotation, enabling researchers to improve the precision of computational tools for analyzing Javanese language structure.",https://doi.org/10.29303/jcosine.v4i1.346 (2020),,https://doi.org/10.11591/ijai.v13.i3.pp3498-3509 (2024)
6399,Javanese,Google Crowdsourced Speech Corpora,Speech,Speech Recognition/Understanding,"The Google Crowdsourced Speech Corpora is used to compile speech audio data, including .wav files, file IDs, and transcriptions, with a focus on low-resource languages and dialects such as Javanese. This dataset enables researchers to address challenges in speech recognition and processing for underrepresented languages by providing a diverse and annotated corpus.",https://www.semanticscholar.org/paper/d3f1c77ea3a4e381cfef8213fa6861928396172a (2020),https://research.google/pubs/crowd-sourced-speech-corpora-for-javanese-sundanese-sinhala-nepali-and-bangladeshi-bengali/,https://doi.org/10.33480/pilar.v20i1.4633 (2024)
6400,Javanese,handwritten Javanese character dataset,Text,Character Recognition,"The handwritten Javanese character dataset is used for recognizing directional element features from handwritten Javanese characters. Researchers employ multi-class SVM for character recognition and feature extraction, focusing on improving the accuracy of identifying specific features within the characters. This dataset enables detailed analysis and development of algorithms tailored to the unique characteristics of Javanese script.",https://www.semanticscholar.org/paper/7f5081cc48368e0a528f8a27bb19b1d86d9cef42 (2016),https://www.kaggle.com/datasets/arifrizqy/javanese-script,https://doi.org/10.22146/IJCCS.31144 (2018)
6402,Javanese,IndoCulture,Text,Cultural Sensitivity Evaluation,"The IndoCulture dataset is used to evaluate the performance of fine-tuned models on cultural tasks in Indonesia, specifically focusing on the impact of safety fine-tuning on cultural sensitivity. This involves assessing how well the models handle culturally sensitive content, ensuring they are appropriate and respectful in their outputs. The dataset enables researchers to test and improve the cultural relevance and safety of AI models in Indonesian contexts.",https://doi.org/10.48550/arXiv.2310.04928 (2023),https://huggingface.co/datasets/indolem/IndoCulture,https://doi.org/10.48550/arXiv.2506.02573 (2025)
6404,Javanese,Japanese Honorific Corpus,Text,Lexicon/Dictionary,"The Japanese Honorific Corpus is used to measure and compare lexical diversity in honorific systems, particularly through Yule’s K value. It serves as a comparative baseline for the Javanese Honorific Corpus, facilitating the integration of honorific distinctions into linguistic corpora and highlighting differences in lexical diversity between Japanese and Javanese honorifics. This dataset enables researchers to draw cross-linguistic insights and enhance the understanding of honorific usage in different cultural contexts.",,,https://doi.org/10.48550/arXiv.2502.20864 (2025)
6405,Javanese,Javanese and Sundanese corpora,Speech,Speech Recognition/Understanding,"The Javanese and Sundanese corpora are used to build multilingual text-to-speech systems, focusing on the integration of Javanese and Sundanese languages, often combined with Indonesian data. These corpora enable researchers to train and evaluate systems that handle linguistic features specific to these languages, facilitating the analysis of Malayo-Polynesian linguistic patterns and enhancing the performance of multilingual speech synthesis.",https://www.semanticscholar.org/paper/967db70850f4d79081e750e65aaa4e272cb472ba (2018),,https://www.semanticscholar.org/paper/d3f1c77ea3a4e381cfef8213fa6861928396172a (2020)
6406,Javanese,Javanese language dataset,Text,Linguistic Analysis,"The Javanese language dataset is used to analyze abusive swearing variations in the Temanggung Javanese dialect. Researchers focus on identifying the types of abusive language and exploring the social realities and contexts in which such language is used. This dataset enables detailed linguistic and sociolinguistic analysis, providing insights into the cultural and social dynamics of the Temanggung Javanese community.",https://doi.org/10.30998/JH.V3I1.90 (2019),,https://doi.org/10.37287/JLH.V1I1.102 (2020)
6410,Javanese,OpenSLR jv-ID,Speech,Speech Recognition/Understanding,"The OpenSLR jv-ID dataset is employed as a Javanese speech corpus, featuring an average of 10 minutes of data per speaker. It is primarily used for training and evaluating speech recognition models, enabling researchers to develop and test algorithms specific to the Javanese language. The dataset's structured speaker data supports robust model performance assessment.; The OpenSLR jv-ID dataset is used to analyze Javanese speech, focusing on phonetics and language processing. Each recording averages 10 minutes per speaker, enabling detailed phonetic analysis and supporting the development of speech processing techniques for the Javanese language. This dataset facilitates research into the acoustic and linguistic properties of Javanese, enhancing understanding and technological applications in Javanese speech recognition and synthesis.",https://www.semanticscholar.org/paper/da19f6f033257a7831f53f238e37b4e5768e9f43 (2006),https://www.openslr.org/41/,https://doi.org/10.1109/ACCESS.2020.3027619 (2020)
6414,Javanese,SLR41,Speech,Speech Recognition/Understanding,"The SLR41 dataset is primarily used for training and evaluating models in Javanese language processing, with a focus on speech recognition and synthesis tasks. It provides a diverse set of high-quality voice samples, enabling researchers to build and assess TTS voices for Javanese, emphasizing model performance, speech synthesis quality, and naturalness.",https://doi.org/10.21437/SLTU.2018-14 (2018),https://www.openslr.org/41/,https://doi.org/10.48550/arXiv.2401.06832 (2024)
6418,Javanese,Version 1 (V1),Text,Sentiment Analysis,"The Version 1 (V1) dataset is used to investigate the impact of lexicon-based knowledge transfer for hate speech detection in Indonesia's code-mixed languages, particularly addressing the imbalance in Indo-Javanese and other language data. Researchers employ this dataset to develop and evaluate methods that enhance hate speech detection models, leveraging the dataset's focus on lexicon-based approaches to improve performance in underrepresented language contexts.",https://doi.org/10.1145/3639233.3639247 (2023),,https://doi.org/10.1109/SIML65326.2025.11081055 (2025)
6538,Khmer,BTEC,Text,Linguistic Analysis,"The BTEC dataset is mentioned in research citations but lacks detailed descriptions of its usage, methodology, or specific research applications. There is no explicit information on how it is employed in studies or its relevance to particular research questions or characteristics.; The BTEC dataset is used to collect travel-related expressions in twenty-one languages, focusing on multilingual travel communication and expression variability. Researchers employ this dataset to analyze and compare linguistic patterns and communication strategies across different languages, enhancing understanding of multilingual travel interactions. This dataset enables detailed examination of how travel-related concepts are expressed and understood in diverse linguistic contexts.",https://doi.org/10.21437/Eurospeech.2003-150 (2003),,https://doi.org/10.1109/APSIPAASC47483.2019.9023137 (2019); https://www.semanticscholar.org/paper/18427ea04252bc943c47ade69ad85290057cf909 (2015)
6539,Khmer,Chhoun Nat dictionary,Speech,Lexicon/Dictionary,"The Chhoun Nat dictionary is used primarily for developing and evaluating automatic word segmentation systems for Khmer speech recognition. It contains a list of 18,000 words and is employed to train and evaluate models such as CRF models, focusing on the longest matching algorithm to study word segmentation and word boundaries. This dataset enables researchers to improve the accuracy of Khmer speech recognition systems by providing a standardized vocabulary reference.",https://www.semanticscholar.org/paper/44619a377ac96c3d33f2b9cbef820b625af4d80a (2008),https://angkordatabase.asia/links/chuon-naths-khmer-dictionary,https://doi.org/10.46223/hcmcoujs.tech.en.12.1.2219.2022 (2022)
6540,Khmer,Common Crawl corpus for Khmer,Text,Machine Translation,"The Common Crawl corpus for Khmer is used to train 4-gram language models, which are concatenated to the target side of parallel data. This enhances the model's understanding and performance in machine translation tasks, particularly for the Khmer language. The dataset's large-scale, web-scraped nature provides extensive text data, improving the model's ability to handle Khmer text effectively.",https://www.semanticscholar.org/paper/774e560a2cadcb84f4b1def7b152e5398b062efb (2013),https://metatext.io/datasets/cc100-khmer,https://doi.org/10.18653/v1/D19-5206 (2019)
6541,Khmer,ECCC corpus,Text,Machine Translation,"The ECCC corpus is used for machine translation, specifically focusing on a Khmer-English bilingual text dataset to enhance translation quality. Researchers employ this corpus to develop and refine translation models, leveraging its bilingual text data to address challenges in cross-language information transfer and improve the accuracy and fluency of translations.",https://doi.org/10.18653/v1/D19-5201 (2019),,https://doi.org/10.1109/O-COCOSDA202152914.2021.9660421 (2021)
6542,Khmer,Khmer,Speech,Speech Recognition/Understanding,"The 'Khmer' dataset is used to train and evaluate speech-to-text translation models, specifically focusing on the Khmer language. It includes audio recordings and corresponding transcriptions, enabling researchers to develop and test translation systems that can accurately convert spoken Khmer into written text. This dataset supports the advancement of natural language processing technologies for under-resourced languages like Khmer.",https://doi.org/10.21437/Eurospeech.2003-150 (2003),https://www.isca-archive.org/eurospeech_2003/kikui03_eurospeech.html,https://doi.org/10.1109/O-COCOSDA202152914.2021.9660421 (2021)
6543,Khmer,Khmer and Burmese ALT data,Text,Parsing and Tagging,"The Khmer and Burmese ALT data dataset is primarily used for linguistic analysis and annotation of Khmer language data. It supports research on Khmer language processing by providing annotated data that facilitates the study of linguistic structures and features, enabling detailed analysis and the development of language processing techniques.",https://doi.org/10.1145/3325885 (2019),https://seacrowd.github.io/seacrowd-catalogue/dataset?id=14,https://doi.org/10.46223/hcmcoujs.tech.en.12.1.2219.2022 (2022)
6545,Khmer,Khmer character dataset,Text,Optical Character Recognition (OCR),"The Khmer character dataset is used to develop an annotation tool for characters and glyphs on document pages, specifically to improve Optical Character Recognition (OCR) for Khmer language documents. This involves annotating and labeling characters to enhance the accuracy of OCR systems, addressing the challenge of recognizing Khmer script in digital documents. The dataset's focus on Khmer characters enables researchers to create more effective tools for processing and analyzing Khmer language texts.",https://doi.org/10.1145/2505377.2505394 (2013),https://www.mdpi.com/2313-433X/4/2/43,https://doi.org/10.3390/JIMAGING4020043 (2018)
6550,Khmer,Khmer palm leaf manuscripts of Cambodia,Text,Character and Text Recognition,"The Khmer palm leaf manuscripts of Cambodia dataset is used to study historical records, culture, and knowledge in Cambodia. Researchers focus on character and text recognition of these historical manuscripts, employing methodologies that enhance the understanding and preservation of Khmer historical texts. This dataset enables detailed analysis of cultural and historical data, contributing to the broader field of Cambodian studies.",https://doi.org/10.1109/ICFHR-2018.2018.00012 (2018),https://www.akhmerbuddhistfoundation.org/manuscripts,https://doi.org/10.23919/APSIPAASC55919.2022.9980217 (2022)
6551,Khmer,Khmer POS dataset by Thu et al. (2017),Text,Parsing and Tagging,"The Khmer POS dataset by Thu et al. (2017) is used to train and evaluate models for Khmer language processing, specifically focusing on part-of-speech tagging. It consists of a manually annotated corpus of 12,000 sentences, enabling researchers to analyze linguistic patterns, improve model accuracy, and address biases in Khmer language structures. This dataset supports the development of robust linguistic analysis tools for the Khmer language.",,https://github.com/ye-kyaw-thu/khPOS,https://doi.org/10.46223/hcmcoujs.tech.en.12.1.2219.2022 (2022)
6553,Khmer,palm leaf manuscript collection,Text,OCR,"The palm leaf manuscript collection is used to test and evaluate word recognition and transliteration tasks, specifically focusing on the accuracy and effectiveness of OCR frameworks for historical Khmer texts. This dataset enables researchers to assess and improve the performance of OCR technologies in processing and interpreting ancient manuscripts, contributing to the preservation and accessibility of historical Khmer documents.",,https://www.akhmerbuddhistfoundation.org/manuscripts,https://doi.org/10.3390/JIMAGING4020043 (2018)
6554,Khmer,Sleuk-Rith dataset,Text,Text Recognition,"The Sleuk-Rith dataset is used for comparative analysis with new datasets, specifically focusing on historical hand-written and printed Khmer text that has been scanned and annotated. This dataset enables researchers to evaluate and benchmark the performance of new datasets in recognizing and processing Khmer script, facilitating advancements in digital humanities and historical document analysis.; The Sleuk Rith dataset is used for text recognition in historical Khmer palm leaf manuscripts. Researchers employ character and text recognition methods to analyze and interpret these manuscripts. This dataset enables the development and evaluation of algorithms for recognizing Khmer script, facilitating the preservation and study of historical texts.","https://doi.org/10.46223/hcmcoujs.tech.en.12.1.2217.2022 (2022), https://doi.org/10.1109/ICFHR-2018.2018.00012 (2018)",https://github.com/donavaly/SleukRith-Set,https://doi.org/10.48550/arXiv.2410.18277 (2024); https://doi.org/10.1109/ACCESS.2023.3332361 (2023)
6555,Khmer,synthetic scene text,Unknown,Not specified,"The 'synthetic scene text' dataset is mentioned in various citation contexts but lacks detailed descriptions of its usage. No specific methodologies, research questions, or applications are provided in the given descriptions. Therefore, there is insufficient evidence to detail how this dataset is actually used in research.",https://doi.org/10.1109/ACCESS.2023.3332361 (2023),,https://doi.org/10.48550/arXiv.2410.18277 (2024)
6556,Khmer,translated MMLU,Text,Cross-lingual Evaluation,"The translated MMLU dataset is used to evaluate cross-lingual alignment, particularly focusing on a model's ability to handle Khmer language data. Despite the dataset's primary focus on Western knowledge, it is employed to assess how well models can transfer and apply this knowledge to a less-resourced language like Khmer. This evaluation helps researchers understand the limitations and capabilities of cross-lingual models in handling diverse linguistic contexts.",https://www.semanticscholar.org/paper/814a4f680b9ba6baba23b93499f4b48af1a27678 (2020),,https://doi.org/10.48550/arXiv.2407.19672 (2024)
6557,Khmer,TriECCC,Speech,Machine Translation,"The TriECCC dataset is used for domain adaptation in speech translation, focusing on Khmer, English, and French. It provides a trilingual corpus that facilitates training and evaluation of speech translation models, enabling researchers to improve cross-lingual performance and adapt models to specific domains.",https://doi.org/10.1109/O-COCOSDA202152914.2021.9660421 (2021),,https://doi.org/10.1109/ICASSP49357.2023.10095644 (2023)
